"lat","lon","bearing","velocity","point_datetime","video_creation_date","device_id","video_id"
"55.8716167","49.2226383","187.0","3.4012844562530518","2023-06-19 06:00:45.296+00","2023-06-19 06:00:45.296+00","32e59c906a958812",1687154445296
"55.8715613","49.2227504","150.83277893066406","4.519654273986816","2023-06-19 06:00:47.184+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8711937","49.2237049","144.59559631347656","5.388794898986816","2023-06-19 06:00:48.178+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8710219","49.2242022","137.41331481933594","5.350738048553467","2023-06-19 06:00:49.183+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.87093","49.2244298","134.96102905273438","5.296106815338135","2023-06-19 06:00:50.179+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8708719","49.2245755","133.04299926757812","5.786190986633301","2023-06-19 06:00:51.183+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8708235","49.2247024","132.85928344726562","6.638396739959717","2023-06-19 06:00:52.191+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8707738","49.2248129","133.72012329101562","6.406501293182373","2023-06-19 06:00:53.182+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8707065","49.2249661","129.39784240722656","7.16592264175415","2023-06-19 06:00:54.191+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8706441","49.2251375","128.79994201660156","7.252480983734131","2023-06-19 06:00:55.182+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.870575","49.2253291","126.08604431152344","7.171476364135742","2023-06-19 06:00:57.181+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8705317","49.2254614","125.01718139648438","7.8657002449035645","2023-06-19 06:00:58.189+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.870486","49.225585","124.98823547363281","7.946835041046143","2023-06-19 06:00:59.18+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8704392","49.2257039","124.9994125366211","8.058734893798828","2023-06-19 06:01:00.188+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8703935","49.2258216","125.96212768554688","8.330035209655762","2023-06-19 06:01:01.18+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8703475","49.2259404","126.0044174194336","8.567178726196289","2023-06-19 06:01:02.188+00",2023-06-19 06:00:45.296+00,"32e59c906a958812","1687154445296"
"55.8702985","49.2260583","126.96065521240234","8.749214172363281","2023-06-19 06:01:03.178+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8702481","49.2261746","126.99935913085938","8.78104305267334","2023-06-19 06:01:04.187+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
